name,brand,p/n,code,p_current,p_base,discount,tax,rating,opinions,cpu,cpu_ghz_min,cpu_ghz_max,ram,ram_mhz,ram_gb,gpu,disk1,disk1_gb,disk1_type,disk2,disk2_gb,disk2_type,display,display_inch,display_width,display_height,date,url
"MSI Modern 14 A10M-812XES Intel Core I5-10210U/8GB/512GB SSD/14""",MSI,9S7-14B362-812,247575,699.0,699.0,0.0,21.0,95.6,9, Comet lake I5-10210U,,, DDR IV 8GB (2666MHz),2666,8, UMA, 512GB NVMe PCIe SSD,512,SSD,,,," 14"" FHD (1920*1080), IPS-Level 60Hz 72%NTSC Thin Bezel, close to 100%sRGB",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/msi-modern-14-a10m-812xes-intel-core-i5-10210u-8gb-512gb-ssd-14
"Lenovo V145-15AST AMD A4-9125/4 GB/256GB SSD/15.6""",Lenovo,81MT004JSP,257078,249.0,249.0,0.0,21.0,90.0,8," AMD A4-9125 (2 núcleos, 2.3/2.6 GHz, 1MB caché L2)",2.3,2.6, RAM 4 GB DIMM DDR4 1866 MHz,1866,4, AMD Radeon™ R3," 256 GB SSD 2.5"" SATA 6Gb/s",256,SSD,,,," 15.6"" HD (1366x768) TN 200nits Mate",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/lenovo-v145-15ast-amd-a4-9125-4-gb-256gb-ssd-156
"Asus Rog Strix G731GU-H7154 Intel Core i7-9750H/16GB/512GB SSD/GTX1660Ti/17.3""",Asus,G731GU-H7154,250060,1116.83,1116.83,0.0,21.0,93.3,9," Intel® Core? i7-9750H (6 Núcleos, 12MB Caché, 2.6GHz hasta 4.5GHz, 64-bit)",2.6,4.5, RAM 16GB (16GB) DDR4 2666MHz,2666,16, NVIDIA® GeForce® GTX1660Ti 6GB GDDR6 VRAM,  512GB SSD M.2 PCIE NVME,512,SSD,,,," 17.3"" - 43,94 cm / LED Retroiluminado / FHD (1920x1080/16:9) / 120Hz / 250nits / 16ms / Antirreflejos / NTSC 45% / SRGB 67% / Adobe 50% / Contraste 800:1 / IPS / Ángulo de Visión de 170°",17.3,1920,1080,2020-04-01,https://www.pccomponentes.com/asus-rog-strix-g731gu-h7154-intel-core-i7-9750h-16gb-512gb-ssd-gtx1660ti-173
"Apple MacBook Air Intel Core i5/8GB/256GB SSD/13.3"" Plata",Apple,MVFL2Y/A,220623,1089.0,1089.0,0.0,21.0,100.0,6,"Intel Core i5 de doble núcleo a 1,6 GHz (Turbo Boost de hasta 3,6 GHz) y 4 MB de caché de nivel 3",1.6,3.6,8 GB de memoria LPDDR3 integrada a 2.133 MHz,2133,8,Intel UHD Graphics 617Compatible con procesadores gráficos externos (eGPU) con tecnología Thunderbolt 3,SSD PCIe de 256 GB,256,SSD,,,,"Pantalla RetinaPantalla retroiluminada por LED de 13,3 pulgadas (en diagonal) con tecnología IPS; resolución nativa de 2.560 por 1.600 a 227 píxeles por pulgada compatible con millones de coloresResoluciones adaptadas compatibles:1.680 por 1.0501.440 por 9001.024 por 640Relación dimensional de 16:10Tecnología True Tone",13.3,,,2020-04-01,https://www.pccomponentes.com/apple-macbook-air-intel-core-i5-8gb-256gb-ssd-133-plata
"Lenovo IdeaPad S145-15IWL Intel Core i3-8145U/8GB/256GB SSD/15.6""",Lenovo,81MV007MSP,254258,399.0,399.0,0.0,21.0,85.0,12," Intel Core i3-8145U (2C / 4T, 2.1 / 3.9GHz, 4MB)",2.1,3.9, RAM 8GB DIMM DDR4-2400,2400,8, Integrated Intel UHD Graphics 620, 256GB SSD M.2 2280 SATA6Gb/s,256,SSD,,,," 15.6"" HD (1366x768) TN 220nits Anti-glare",15.6,1366,768,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15iwl-intel-core-i3-8145u-8gb-256gb-ssd-156
"Lenovo IdeaPad S145-15IIL Intel Core i7-1065G7/8GB/512GB SSD/15.6""",Lenovo,81W800BCSP,280974,599.0,599.0,0.0,21.0,100.0,1," Intel Core i7-1065G7 (4C / 8T, 1.3 / 3.9GHz, 8MB)",1.3,3.9, RAM 4GB Soldered DDR4-2666 + 4GB DIMM DDR4-2666,2666,8, Integrated Intel UHD Graphics 620, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15iil-intel-core-i7-1065g7-8gb-512gb-ssd-156
"HP Pavilion 14-CE3006NS Intel Core i7-1065G7/16GB/512GB SSD/MX250/14""",HP,8KW16EA#ABE,252237,949.0,949.0,0.0,21.0,92.9,17," Intel® Core? i7-1065G7 (frecuencia base de 1,3 GHz, hasta 3,9 GHz con tecnología Intel® Turbo Boost, 8 MB de caché, 4 núcleos)",1.3,3.9, RAM SDRAM DDR4-2666 de 16 GB (1 x 16 GB),2666,16, NVIDIA® GeForce® MX250 (GDDR5 de 4 GB dedicada) ;, SSD de 512 GB PCIe® NVMe? M.2,512,SSD,,,," FHD IPS de 14"" (35,6 cm) en diagonal antirreflectante de microborde con retroiluminación WLED (1920 x 1080)",14.0,1920,1080,2020-04-01,https://www.pccomponentes.com/hp-pavilion-14-ce3006ns-intel-core-i7-1065g7-16gb-512gb-ssd-mx250-14
"Lenovo Ideapad S145-15AST AMD A6-9225/8GB/256GB SSD/15.6""",Lenovo,81N300A3SP,250915,349.0,349.0,0.0,21.0,84.0,5," AMD A6-9225 (2C / 2T, 2.6 / 3.0GHz, 1MB / L2)",2.6,3.0, RAM 8GB DIMM DDR4-2133,2133,8, AMD Radeon R4 Graphics," 256GB SSD 2.5"" SATA6Gb/s",256,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15ast-amd-a6-9225-8gb-256gb-ssd-156
"Lenovo IdeaPad S145-15IKB Intel Core i3-7020U/8GB/512GB SSD/15.6""",Lenovo,81VD005TSP,281918,399.0,459.0,14.0,21.0,0.0,0," Intel Core i3-7020U (2C / 4T, 2.3GHz, 3MB)",2.3,, RAM 4GB Soldered DDR4-2133 + 4GB SO-DIMM DDR4-2133,2133,8, Integrated Intel UHD Graphics 620, 512GB SSD M.2 2280 PCIe NVMe,512,SSD,,,," 15.6"" FHD (1920x1080) TN 220nits Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-s145-15ikb-intel-core-i3-7020u-8gb-512gb-ssd-156
"Lenovo Ideapad 330-15ICH Intel Core i7-8750H/8 GB/1TB/GTX1050/15.6""",Lenovo,81FK00A3SP,237951,599.0,898.99,34.0,21.0,81.3,30," Intel Core i7-8750H (6C, 2.2 / 4.1GHz, 9MB)",2.2,4.1, RAM 4GB Soldered + 4GB DIMM DDR4-2400,2400,8, NVIDIA GeForce GTX 1050 2GB GDDR5, 1TB 5400rpm,1000,,,,," 15.6"" FHD (1920x1080) Anti-glare",15.6,1920,1080,2020-04-01,https://www.pccomponentes.com/lenovo-ideapad-330-15ich-intel-core-i7-8750h-8-gb-1tb-gtx1050-156
